15	10	E	-7498978.91381779	200
emissionprobs	2	0	H2AFZ	1	0.7657890469014813
emissionprobs	2	1	H3K27ac	0	0.009862563651381504
emissionprobs	2	1	H3K27ac	1	0.9901374363486185
emissionprobs	2	2	H3k27me3	0	0.9966009535854247
emissionprobs	2	2	H3k27me3	1	0.0033990464145753295
emissionprobs	2	3	H3k36me3	0	0.999533987042023
emissionprobs	2	3	H3k36me3	1	4.6601295797703155E-4
emissionprobs	2	4	H3k4me1	0	0.8668702986245633
emissionprobs	2	4	H3k4me1	1	0.13312970137543664
emissionprobs	2	5	H3k4me2	0	0.06035803270571942
emissionprobs	2	5	H3k4me2	1	0.9396419672942806
emissionprobs	2	6	H3k4me3	0	1.9102777832825727E-128
emissionprobs	2	6	H3k4me3	1	1.0
emissionprobs	2	7	H3k79me2	0	0.5818091490890416
emissionprobs	2	7	H3k79me2	1	0.4181908509109584
emissionprobs	2	8	H3k9ac	0	1.2702941872537591E-5
emissionprobs	2	8	H3k9ac	1	0.9999872970581274
emissionprobs	2	9	H3k9me3	0	0.9944712913619088
emissionprobs	2	9	H3k9me3	1	0.005528708638091174
emissionprobs	3	0	H2AFZ	0	0.4021817843583796
emissionprobs	3	0	H2AFZ	1	0.5978182156416203
emissionprobs	3	1	H3K27ac	0	0.012236206747866964
emissionprobs	3	1	H3K27ac	1	0.987763793252133
emissionprobs	3	2	H3k27me3	0	0.9960780756904434
emissionprobs	3	2	H3k27me3	1	0.003921924309556602
emissionprobs	3	3	H3k36me3	0	0.9813839101602181
emissionprobs	3	3	H3k36me3	1	0.018616089839781982
emissionprobs	3	4	H3k4me1	0	0.06426877619224759
emissionprobs	3	4	H3k4me1	1	0.9357312238077524
emissionprobs	3	5	H3k4me2	0	0.0029750453316764545
emissionprobs	3	5	H3k4me2	1	0.9970249546683235
emissionprobs	3	6	H3k4me3	0	0.32698646795547354
emissionprobs	3	6	H3k4me3	1	0.6730135320445265
emissionprobs	3	7	H3k79me2	0	0.9069439512981011
emissionprobs	3	7	H3k79me2	1	0.09305604870189887
emissionprobs	3	8	H3k9ac	0	0.21743720302755432
emissionprobs	3	8	H3k9ac	1	0.7825627969724457
emissionprobs	3	9	H3k9me3	0	0.9929183514544663
emissionprobs	3	9	H3k9me3	1	0.007081648545533792
emissionprobs	4	0	H2AFZ	0	0.8082507410987705
emissionprobs	4	0	H2AFZ	1	0.19174925890122943
emissionprobs	4	1	H3K27ac	0	0.30097160789567995
emissionprobs	4	1	H3K27ac	1	0.69902839210432
emissionprobs	4	2	H3k27me3	0	0.9976033789265762
emissionprobs	4	2	H3k27me3	1	0.0023966210734237747
emissionprobs	4	3	H3k36me3	0	0.9700819111908706
emissionprobs	4	3	H3k36me3	1	0.029918088809129408
emissionprobs	4	4	H3k4me1	0	0.16326436723583987
emissionprobs	4	4	H3k4me1	1	0.8367356327641601
emissionprobs	4	5	H3k4me2	0	0.4710796942419675
emissionprobs	4	5	H3k4me2	1	0.5289203057580324
emissionprobs	4	6	H3k4me3	0	0.9579949986834216
emissionprobs	4	6	H3k4me3	1	0.04200500131657842
emissionprobs	4	7	H3k79me2	0	0.9416006362272391
emissionprobs	4	7	H3k79me2	1	0.058399363772760844
emissionprobs	4	8	H3k9ac	0	0.8637765991586438
emissionprobs	4	8	H3k9ac	1	0.13622340084135626
emissionprobs	4	9	H3k9me3	0	0.9876064810137963
emissionprobs	4	9	H3k9me3	1	0.012393518986203738
emissionprobs	5	0	H2AFZ	0	0.9631795720419344
emissionprobs	5	0	H2AFZ	1	0.036820427958065644
emissionprobs	5	1	H3K27ac	0	0.9796674943170829
emissionprobs	5	1	H3K27ac	1	0.02033250568291702
emissionprobs	5	2	H3k27me3	0	0.9974840508297279
emissionprobs	5	2	H3k27me3	1	0.0025159491702720833
emissionprobs	5	3	H3k36me3	0	0.9942538595965037
emissionprobs	5	3	H3k36me3	1	0.005746140403496303
emissionprobs	5	4	H3k4me1	0	0.6052287402057915
emissionprobs	5	4	H3k4me1	1	0.3947712597942086
emissionprobs	5	5	H3k4me2	0	0.9758567338681741
emissionprobs	5	5	H3k4me2	1	0.024143266131825904
emissionprobs	5	6	H3k4me3	0	0.9978749308530658
emissionprobs	5	6	H3k4me3	1	0.0021250691469342177
emissionprobs	5	7	H3k79me2	0	0.9787044449144571
emissionprobs	5	7	H3k79me2	1	0.021295555085542903
emissionprobs	5	8	H3k9ac	0	0.9798103102104728
emissionprobs	5	8	H3k9ac	1	0.020189689789527246
emissionprobs	5	9	H3k9me3	0	0.9955264587121415
emissionprobs	5	9	H3k9me3	1	0.0044735412878585705
emissionprobs	6	0	H2AFZ	0	0.7492485559345083
emissionprobs	6	0	H2AFZ	1	0.25075144406549177
emissionprobs	6	1	H3K27ac	0	0.9770506251876034
emissionprobs	6	1	H3K27ac	1	0.022949374812396478
emissionprobs	6	2	H3k27me3	0	0.9693057095676791
